target,lang,task,first_status,last_status,passed_round,rounds_used,tokens,time_s
aya,bash,backup_rotate,fail,fail,0,5,2190,126.8
aya,bash,count_matches,fail,pass,4,4,304,17.8
aya,bash,csv_col,fail,fail,0,5,811,47.7
aya,bash,extract_urls,fail,fail,0,5,335,20.3
aya,bash,find_dupes,fail,fail,0,5,1287,74.4
aya,bash,json_get,fail,fail,0,5,390,25.1
aya,bash,largest_file,fail,pass,3,3,130,8.2
aya,bash,retry3,fail,fail,0,5,462,27.8
aya,bash,rotate,pass,pass,1,1,51,3.2
aya,bash,sum_stdin,pass,pass,1,1,55,3.3
aya,bash,top_errors,fail,fail,0,5,966,55.6
aya,c,atoi_strict,compile_error,wrong_answer,0,5,935,54.4
aya,c,binary_search,pass,pass,1,1,128,7.0
aya,c,bswap32,pass,pass,1,1,47,2.7
aya,c,cmp_desc,wrong_answer,pass,2,2,110,6.4
aya,c,count_words,compile_error,pass,4,4,312,17.6
aya,c,csv_field,wrong_answer,wrong_answer,0,5,1388,80.7
aya,c,fizzbuzz,pass,pass,1,1,99,5.6
aya,c,glob_match,wrong_answer,wrong_answer,0,5,791,44.9
aya,c,is_prime,pass,pass,1,1,84,4.7
aya,c,itoa,compile_error,compile_error,0,5,1150,66.5
aya,c,max_subarray,pass,pass,1,1,125,7.1
aya,c,parse_csv_ints,compile_error,wrong_answer,0,5,1006,56.2
aya,c,popcount,pass,pass,1,1,141,7.6
aya,c,reverse_string,compile_error,pass,2,2,173,10.0
aya,c,ring,wrong_answer,wrong_answer,0,5,1133,62.5
aya,c,rot13,compile_error,pass,2,2,218,13.0
aya,c,rpn_eval,compile_error,wrong_answer,0,5,1081,62.7
aya,c,stack,pass,pass,1,1,163,9.1
aya,c,trim,compile_error,wrong_answer,0,5,604,35.5
aya,python,csv_column_sum,pass,pass,1,1,85,4.9
aya,python,deep_get,pass,pass,1,1,67,4.0
aya,python,flatten,pass,pass,1,1,26,3.2
aya,python,is_valid_ipv4,fail,fail,0,5,510,31.4
aya,python,json_diff,fail,fail,0,5,1194,72.2
aya,python,lru_cache,pass,pass,1,1,160,9.1
aya,python,merge_intervals,pass,pass,1,1,110,6.5
aya,python,parse_json_safely,pass,pass,1,1,42,2.8
aya,python,run_length_encode,pass,pass,1,1,99,5.8
aya,python,top_k_words,pass,pass,1,1,70,4.5
