target,suite,task,trial,temperature,status,time_s,completion_tokens,failure_note
aya,bash,count_matches,0,0.0,fail,4.43,76,FAIL count bar
aya,bash,count_matches,1,0.7,fail,4.3,76,FAIL count bar
aya,bash,count_matches,2,0.7,pass,2.05,35,FAIL count bar
aya,bash,csv_col,0,0.0,fail,8.39,148,FAIL got:
aya,bash,csv_col,1,0.7,fail,4.63,84,FAIL got:
aya,bash,csv_col,2,0.7,fail,7.83,143,FAIL got:
aya,bash,extract_urls,0,0.0,fail,3.96,67,Unmatched [ in regex; marked by <-- HERE in m/https?://[ <-- HERE ^\s/ at -e line 1.
aya,bash,extract_urls,1,0.7,fail,4.45,80,Unmatched [ in regex; marked by <-- HERE in m/https?://[ <-- HERE ^\s/ at -e line 1.
aya,bash,extract_urls,2,0.7,fail,3.88,69,Unmatched [ in regex; marked by <-- HERE in m/https?://[ <-- HERE ^\s/ at -e line 1.
aya,bash,json_get,0,0.0,fail,3.21,54,FAIL name
aya,bash,json_get,1,0.7,pass,2.38,42,FAIL name
aya,bash,json_get,2,0.7,fail,6.07,111,FAIL name
aya,bash,largest_file,0,0.0,fail,2.49,40,FAIL got 8.0K	d/sub/big.bin
aya,bash,largest_file,1,0.7,fail,2.32,40,FAIL got 8.0K	d/sub/big.bin
aya,bash,largest_file,2,0.7,fail,2.35,40,FAIL got 8.0K	d/sub/big.bin
aya,bash,retry3,0,0.0,fail,5.44,94,FAIL flaky never succeeded
aya,bash,retry3,1,0.7,fail,4.91,88,FAIL flaky never succeeded
aya,bash,retry3,2,0.7,fail,3.74,66,FAIL flaky never succeeded
aya,bash,rotate,0,0.0,pass,3.23,51,
aya,bash,rotate,1,0.7,pass,2.9,51,
aya,bash,rotate,2,0.7,pass,2.96,52,
aya,bash,sum_stdin,0,0.0,pass,3.29,55,
aya,bash,sum_stdin,1,0.7,pass,3.08,55,
aya,bash,sum_stdin,2,0.7,pass,3.12,55,
aya,brutal-bash,csv_to_tsv,0,0.0,fail,7.06,118,-tab\tinside	y	5
aya,brutal-bash,csv_to_tsv,1,0.7,fail,5.76,89,-tab\tinside	y	5
aya,brutal-bash,csv_to_tsv,2,0.7,timeout,6.26,100,-tab\tinside	y	5
aya,brutal-bash,total_size,0,0.0,fail,2.25,46,usage: du [-Aclnx] [-H | -L | -P] [-g | -h | -k | -m] [-a | -s | -d depth] [-B blocksize] [-I mask] [-t threshold] [file
